From Date,To Date,PM2.5,PM10,NO2,SO2
01-07-2017 00:00,01-07-2017 08:00,28.3,20.13,18.59,17.75
01-07-2017 08:00,01-07-2017 16:00,31.23,55.77,15.7,52.81
01-07-2017 16:00,02-07-2017 00:00,45.17,102.3,16.08,14.21
02-07-2017 00:00,02-07-2017 08:00,34.57,78.03,12.45,14.97
02-07-2017 08:00,02-07-2017 16:00,40.26,111.48,13.98,10.41
02-07-2017 16:00,03-07-2017 00:00,46.94,144.32,19.45,16.81
03-07-2017 00:00,03-07-2017 08:00,28.44,72.07,11.89,9.47
03-07-2017 08:00,03-07-2017 16:00,40.32,88.12,17.98,80.83
03-07-2017 16:00,04-07-2017 00:00,59.46,154.43,28.56,16.03
04-07-2017 00:00,04-07-2017 08:00,38.48,93.44,12.84,13.66
04-07-2017 08:00,04-07-2017 16:00,47.38,108.22,13.78,66.66
04-07-2017 16:00,05-07-2017 00:00,53.23,166.3,22.31,16.03
05-07-2017 00:00,05-07-2017 08:00,41.03,110.26,14.86,12.25
05-07-2017 08:00,05-07-2017 16:00,47.03,104.8,13.24,65.46
05-07-2017 16:00,06-07-2017 00:00,61.4,170.4,23.62,20.31
06-07-2017 00:00,06-07-2017 08:00,43.11,106.11,15.23,16.62
06-07-2017 08:00,06-07-2017 16:00,44.91,113.28,14.37,8.12
06-07-2017 16:00,07-07-2017 00:00,45.34,118.86,18.61,12.97
07-07-2017 00:00,07-07-2017 08:00,36.13,99.57,14.26,17.61
07-07-2017 08:00,07-07-2017 16:00,57.97,130.59,15.07,70.81
07-07-2017 16:00,08-07-2017 00:00,68.69,151.69,22.14,6.64
08-07-2017 00:00,08-07-2017 08:00,58.23,141.03,15.45,3.24
08-07-2017 08:00,08-07-2017 16:00,51.7,108.33,10.36,61.52
08-07-2017 16:00,09-07-2017 00:00,42.27,75.8,12.54,14.73
09-07-2017 00:00,09-07-2017 08:00,12.37,0,8.6,19.21
09-07-2017 08:00,09-07-2017 16:00,0,0,18.01,8.73
09-07-2017 16:00,10-07-2017 00:00,0,0,11.91,21.28
10-07-2017 00:00,10-07-2017 08:00,0,0,10.07,16.74
10-07-2017 08:00,10-07-2017 16:00,21.7,47.3,7.4,13.37
10-07-2017 16:00,11-07-2017 00:00,51.67,123.23,11.95,13.34
11-07-2017 00:00,11-07-2017 08:00,32.21,53.55,6.15,3.46
11-07-2017 08:00,11-07-2017 16:00,48.07,95.43,9.44,62.54
11-07-2017 16:00,12-07-2017 00:00,29.67,52,12.01,5.96
12-07-2017 00:00,12-07-2017 08:00,25.23,5.3,4.61,5.02
12-07-2017 08:00,12-07-2017 16:00,20.81,39.13,6.44,25.29
12-07-2017 16:00,13-07-2017 00:00,53.1,121.33,12.92,7.84
13-07-2017 00:00,13-07-2017 08:00,41.81,78.03,7.27,3.35
13-07-2017 08:00,13-07-2017 16:00,43.97,84.73,9.14,59.94
13-07-2017 16:00,14-07-2017 00:00,36.93,65.03,11.41,6.24
14-07-2017 00:00,14-07-2017 08:00,31.17,47.52,6.99,5.23
14-07-2017 08:00,14-07-2017 16:00,34.52,72.04,9.46,67.44
14-07-2017 16:00,15-07-2017 00:00,47,110.9,11.11,10.11
15-07-2017 00:00,15-07-2017 08:00,34.63,66.47,8.81,11.52
15-07-2017 08:00,15-07-2017 16:00,37.2,66.63,8.31,34.89
15-07-2017 16:00,16-07-2017 00:00,37.57,61.77,9.25,6.07
16-07-2017 00:00,16-07-2017 08:00,30.41,64.81,7.01,3.74
16-07-2017 08:00,16-07-2017 16:00,27.93,51.07,8.2,7.12
16-07-2017 16:00,17-07-2017 00:00,33.12,63.72,9.38,4.6
17-07-2017 00:00,17-07-2017 08:00,32.62,47,7.3,5.07
17-07-2017 08:00,17-07-2017 16:00,49.16,63.81,11.3,58.06
17-07-2017 16:00,18-07-2017 00:00,29.87,28.33,8.93,185.71
18-07-2017 00:00,18-07-2017 08:00,2.25,0,2.8,3.51
18-07-2017 08:00,18-07-2017 16:00,19.32,25.61,7.89,10.94
18-07-2017 16:00,19-07-2017 00:00,27.35,49.42,7.49,17.99
19-07-2017 00:00,19-07-2017 08:00,27.58,41.39,5.17,20.03
19-07-2017 08:00,19-07-2017 16:00,35.33,125.07,5.59,66.78
19-07-2017 16:00,20-07-2017 00:00,32.16,70.26,5.05,3.57
20-07-2017 00:00,20-07-2017 08:00,23.28,38.52,6.22,12.08
20-07-2017 08:00,20-07-2017 16:00,28.11,54.86,5.7,73.7
20-07-2017 16:00,21-07-2017 00:00,46.56,130.44,8.7,13.75
21-07-2017 00:00,21-07-2017 08:00,35.47,78.73,6.48,15.15
21-07-2017 08:00,21-07-2017 16:00,42.76,121.83,8.09,88.14
21-07-2017 16:00,22-07-2017 00:00,46.86,147.24,9.22,16.36
22-07-2017 00:00,22-07-2017 08:00,28.55,77.97,6.25,12.24
22-07-2017 08:00,22-07-2017 16:00,48.17,116.3,7.13,67.61
22-07-2017 16:00,23-07-2017 00:00,47.57,145.63,8.7,13.38
