From Date,To Date,PM2.5
01-07-2017 00:00,01-07-2017 08:00,28.3
01-07-2017 08:00,01-07-2017 16:00,31.23
01-07-2017 16:00,02-07-2017 00:00,45.17
02-07-2017 00:00,02-07-2017 08:00,34.57
02-07-2017 08:00,02-07-2017 16:00,40.26
02-07-2017 16:00,03-07-2017 00:00,46.94
03-07-2017 00:00,03-07-2017 08:00,28.44
03-07-2017 08:00,03-07-2017 16:00,40.32
03-07-2017 16:00,04-07-2017 00:00,59.46
04-07-2017 00:00,04-07-2017 08:00,38.48
04-07-2017 08:00,04-07-2017 16:00,47.38
04-07-2017 16:00,05-07-2017 00:00,53.23
05-07-2017 00:00,05-07-2017 08:00,41.03
05-07-2017 08:00,05-07-2017 16:00,47.03
05-07-2017 16:00,06-07-2017 00:00,61.4
06-07-2017 00:00,06-07-2017 08:00,43.11
06-07-2017 08:00,06-07-2017 16:00,44.91
06-07-2017 16:00,07-07-2017 00:00,45.34
07-07-2017 00:00,07-07-2017 08:00,36.13
07-07-2017 08:00,07-07-2017 16:00,57.97
07-07-2017 16:00,08-07-2017 00:00,68.69
08-07-2017 00:00,08-07-2017 08:00,58.23
08-07-2017 08:00,08-07-2017 16:00,51.7
08-07-2017 16:00,09-07-2017 00:00,42.27
09-07-2017 00:00,09-07-2017 08:00,12.37
09-07-2017 08:00,09-07-2017 16:00,0
09-07-2017 16:00,10-07-2017 00:00,0
10-07-2017 00:00,10-07-2017 08:00,0
10-07-2017 08:00,10-07-2017 16:00,21.7
10-07-2017 16:00,11-07-2017 00:00,51.67
11-07-2017 00:00,11-07-2017 08:00,32.21
11-07-2017 08:00,11-07-2017 16:00,48.07
11-07-2017 16:00,12-07-2017 00:00,29.67
12-07-2017 00:00,12-07-2017 08:00,25.23
12-07-2017 08:00,12-07-2017 16:00,20.81
12-07-2017 16:00,13-07-2017 00:00,53.1
13-07-2017 00:00,13-07-2017 08:00,41.81
13-07-2017 08:00,13-07-2017 16:00,43.97
13-07-2017 16:00,14-07-2017 00:00,36.93
14-07-2017 00:00,14-07-2017 08:00,31.17
14-07-2017 08:00,14-07-2017 16:00,34.52
14-07-2017 16:00,15-07-2017 00:00,47
15-07-2017 00:00,15-07-2017 08:00,34.63
15-07-2017 08:00,15-07-2017 16:00,37.2
15-07-2017 16:00,16-07-2017 00:00,37.57
16-07-2017 00:00,16-07-2017 08:00,30.41
16-07-2017 08:00,16-07-2017 16:00,27.93
16-07-2017 16:00,17-07-2017 00:00,33.12
17-07-2017 00:00,17-07-2017 08:00,32.62
17-07-2017 08:00,17-07-2017 16:00,49.16
17-07-2017 16:00,18-07-2017 00:00,29.87
18-07-2017 00:00,18-07-2017 08:00,2.25
18-07-2017 08:00,18-07-2017 16:00,19.32
18-07-2017 16:00,19-07-2017 00:00,27.35
19-07-2017 00:00,19-07-2017 08:00,27.58
19-07-2017 08:00,19-07-2017 16:00,35.33
19-07-2017 16:00,20-07-2017 00:00,32.16
20-07-2017 00:00,20-07-2017 08:00,23.28
20-07-2017 08:00,20-07-2017 16:00,28.11
20-07-2017 16:00,21-07-2017 00:00,46.56
21-07-2017 00:00,21-07-2017 08:00,35.47
21-07-2017 08:00,21-07-2017 16:00,42.76
21-07-2017 16:00,22-07-2017 00:00,46.86
22-07-2017 00:00,22-07-2017 08:00,28.55
22-07-2017 08:00,22-07-2017 16:00,48.17
22-07-2017 16:00,23-07-2017 00:00,47.57
23-07-2017 00:00,23-07-2017 08:00,32.71
23-07-2017 08:00,23-07-2017 16:00,47.57
23-07-2017 16:00,24-07-2017 00:00,51.03
24-07-2017 00:00,24-07-2017 08:00,30.73
24-07-2017 08:00,24-07-2017 16:00,54.69
24-07-2017 16:00,25-07-2017 00:00,43.5
25-07-2017 00:00,25-07-2017 08:00,39.41
25-07-2017 08:00,25-07-2017 16:00,45.17
25-07-2017 16:00,26-07-2017 00:00,50.43
26-07-2017 00:00,26-07-2017 08:00,30.81
26-07-2017 08:00,26-07-2017 16:00,46.35
26-07-2017 16:00,27-07-2017 00:00,44
27-07-2017 00:00,27-07-2017 08:00,34.37
27-07-2017 08:00,27-07-2017 16:00,43.6
27-07-2017 16:00,28-07-2017 00:00,39.2
28-07-2017 00:00,28-07-2017 08:00,33.54
28-07-2017 08:00,28-07-2017 16:00,55.29
28-07-2017 16:00,29-07-2017 00:00,11.6
29-07-2017 00:00,29-07-2017 08:00,0
29-07-2017 08:00,29-07-2017 16:00,31.77
29-07-2017 16:00,30-07-2017 00:00,46.33
30-07-2017 00:00,30-07-2017 08:00,14.37
30-07-2017 08:00,30-07-2017 16:00,60.33
30-07-2017 16:00,31-07-2017 00:00,32.79
31-07-2017 00:00,31-07-2017 08:00,6.11
31-07-2017 08:00,31-07-2017 16:00,34.93
31-07-2017 16:00,01-08-2017 00:00,48.46
01-08-2017 00:00,01-08-2017 08:00,58.24
01-08-2017 08:00,01-08-2017 16:00,53.73
01-08-2017 16:00,02-08-2017 00:00,42.68
02-08-2017 00:00,02-08-2017 08:00,49.81
02-08-2017 08:00,02-08-2017 16:00,50.04
02-08-2017 16:00,03-08-2017 00:00,37.46
03-08-2017 00:00,03-08-2017 08:00,36
03-08-2017 08:00,03-08-2017 16:00,54.66
03-08-2017 16:00,04-08-2017 00:00,38.89
04-08-2017 00:00,04-08-2017 08:00,37.13
04-08-2017 08:00,04-08-2017 16:00,37.39
04-08-2017 16:00,05-08-2017 00:00,46.07
05-08-2017 00:00,05-08-2017 08:00,32.93
05-08-2017 08:00,05-08-2017 16:00,31.81
05-08-2017 16:00,06-08-2017 00:00,37.5
06-08-2017 00:00,06-08-2017 08:00,52.9
06-08-2017 08:00,06-08-2017 16:00,51.18
06-08-2017 16:00,07-08-2017 00:00,58.07
07-08-2017 00:00,07-08-2017 08:00,78.72
07-08-2017 08:00,07-08-2017 16:00,61.9
07-08-2017 16:00,08-08-2017 00:00,56.71
08-08-2017 00:00,08-08-2017 08:00,61.87
08-08-2017 08:00,08-08-2017 16:00,47.59
08-08-2017 16:00,09-08-2017 00:00,68.23
09-08-2017 00:00,09-08-2017 08:00,61.97
09-08-2017 08:00,09-08-2017 16:00,44.11
09-08-2017 16:00,10-08-2017 00:00,52.9
10-08-2017 00:00,10-08-2017 08:00,56.57
10-08-2017 08:00,10-08-2017 16:00,36.13
10-08-2017 16:00,11-08-2017 00:00,49.72
11-08-2017 00:00,11-08-2017 08:00,42.63
11-08-2017 08:00,11-08-2017 16:00,33.64
11-08-2017 16:00,12-08-2017 00:00,45.86
12-08-2017 00:00,12-08-2017 08:00,68.5
12-08-2017 08:00,12-08-2017 16:00,34.6
12-08-2017 16:00,13-08-2017 00:00,56.45
13-08-2017 00:00,13-08-2017 08:00,61.26
13-08-2017 08:00,13-08-2017 16:00,46.7
13-08-2017 16:00,14-08-2017 00:00,35.93
14-08-2017 00:00,14-08-2017 08:00,29.2
14-08-2017 08:00,14-08-2017 16:00,16.37
14-08-2017 16:00,15-08-2017 00:00,24.83
15-08-2017 00:00,15-08-2017 08:00,61.83
15-08-2017 08:00,15-08-2017 16:00,47.55
15-08-2017 16:00,16-08-2017 00:00,47.23
16-08-2017 00:00,16-08-2017 08:00,60.03
16-08-2017 08:00,16-08-2017 16:00,55.63
16-08-2017 16:00,17-08-2017 00:00,66.28
17-08-2017 00:00,17-08-2017 08:00,38.46
17-08-2017 08:00,17-08-2017 16:00,70.54
17-08-2017 16:00,18-08-2017 00:00,55.77
18-08-2017 00:00,18-08-2017 08:00,48.87
18-08-2017 08:00,18-08-2017 16:00,45.27
18-08-2017 16:00,19-08-2017 00:00,45.07
19-08-2017 00:00,19-08-2017 08:00,46.34
19-08-2017 08:00,19-08-2017 16:00,36.19
19-08-2017 16:00,20-08-2017 00:00,45.38
20-08-2017 00:00,20-08-2017 08:00,44.87
20-08-2017 08:00,20-08-2017 16:00,34.77
20-08-2017 16:00,21-08-2017 00:00,22.79
21-08-2017 00:00,21-08-2017 08:00,2.43
21-08-2017 08:00,21-08-2017 16:00,29.03
21-08-2017 16:00,22-08-2017 00:00,27.57
22-08-2017 00:00,22-08-2017 08:00,31.9
22-08-2017 08:00,22-08-2017 16:00,33.93
22-08-2017 16:00,23-08-2017 00:00,35.59
23-08-2017 00:00,23-08-2017 08:00,28.96
23-08-2017 08:00,23-08-2017 16:00,31.31
23-08-2017 16:00,24-08-2017 00:00,31.8
24-08-2017 00:00,24-08-2017 08:00,32.77
24-08-2017 08:00,24-08-2017 16:00,39.93
24-08-2017 16:00,25-08-2017 00:00,27.58
25-08-2017 00:00,25-08-2017 08:00,36.79
25-08-2017 08:00,25-08-2017 16:00,43.26
