From Date,To Date,PM2.5
01-11-2018 00:00,01-11-2018 04:00,1.93
01-11-2018 04:00,01-11-2018 08:00,9.6
01-11-2018 08:00,01-11-2018 12:00,20.29
01-11-2018 12:00,01-11-2018 16:00,9.62
01-11-2018 16:00,01-11-2018 20:00,8.36
01-11-2018 20:00,02-11-2018 00:00,8.5
02-11-2018 00:00,02-11-2018 04:00,11.06
02-11-2018 04:00,02-11-2018 08:00,14.8
02-11-2018 08:00,02-11-2018 12:00,16.2
02-11-2018 12:00,02-11-2018 16:00,10.46
02-11-2018 16:00,02-11-2018 20:00,6
02-11-2018 20:00,03-11-2018 00:00,4
03-11-2018 00:00,03-11-2018 04:00,4.38
03-11-2018 04:00,03-11-2018 08:00,10.25
03-11-2018 08:00,03-11-2018 12:00,4.92
03-11-2018 12:00,03-11-2018 16:00,8.07
03-11-2018 16:00,03-11-2018 20:00,12.25
03-11-2018 20:00,04-11-2018 00:00,5.21
04-11-2018 00:00,04-11-2018 04:00,8.8
04-11-2018 04:00,04-11-2018 08:00,11.8
04-11-2018 08:00,04-11-2018 12:00,9.94
04-11-2018 12:00,04-11-2018 16:00,4.67
04-11-2018 16:00,04-11-2018 20:00,6.64
04-11-2018 20:00,05-11-2018 00:00,4.92
05-11-2018 00:00,05-11-2018 04:00,6.36
05-11-2018 04:00,05-11-2018 08:00,19.4
05-11-2018 08:00,05-11-2018 12:00,12.33
05-11-2018 12:00,05-11-2018 16:00,3.75
05-11-2018 16:00,05-11-2018 20:00,9.88
05-11-2018 20:00,06-11-2018 00:00,10
06-11-2018 00:00,06-11-2018 04:00,34.38
06-11-2018 04:00,06-11-2018 08:00,52.5
06-11-2018 08:00,06-11-2018 12:00,46.62
06-11-2018 12:00,06-11-2018 16:00,11.44
06-11-2018 16:00,06-11-2018 20:00,15.73
06-11-2018 20:00,07-11-2018 00:00,28.27
07-11-2018 00:00,07-11-2018 04:00,44.56
07-11-2018 04:00,07-11-2018 08:00,72
07-11-2018 08:00,07-11-2018 12:00,33.53
07-11-2018 12:00,07-11-2018 16:00,14.73
07-11-2018 16:00,07-11-2018 20:00,56.62
07-11-2018 20:00,08-11-2018 00:00,466.6
08-11-2018 00:00,08-11-2018 04:00,613.31
08-11-2018 04:00,08-11-2018 08:00,292.06
08-11-2018 08:00,08-11-2018 12:00,57.5
08-11-2018 12:00,08-11-2018 16:00,18.69
08-11-2018 16:00,08-11-2018 20:00,33.81
08-11-2018 20:00,09-11-2018 00:00,40.36
09-11-2018 00:00,09-11-2018 04:00,58.69
09-11-2018 04:00,09-11-2018 08:00,72.5
09-11-2018 08:00,09-11-2018 12:00,37.88
09-11-2018 12:00,09-11-2018 16:00,35.5
09-11-2018 16:00,09-11-2018 20:00,44.44
09-11-2018 20:00,10-11-2018 00:00,45.46
10-11-2018 00:00,10-11-2018 04:00,72.25
10-11-2018 04:00,10-11-2018 08:00,95.12
10-11-2018 08:00,10-11-2018 12:00,56.6
10-11-2018 12:00,10-11-2018 16:00,50.81
10-11-2018 16:00,10-11-2018 20:00,69
10-11-2018 20:00,11-11-2018 00:00,63.2
11-11-2018 00:00,11-11-2018 04:00,70.12
11-11-2018 04:00,11-11-2018 08:00,82.13
11-11-2018 08:00,11-11-2018 12:00,83
11-11-2018 12:00,11-11-2018 16:00,75.13
